IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.202.197.141,443,443,true,SEA,North America,US,Seattle,265,9.57
54.201.196.181,443,443,true,SEA,North America,US,Seattle,214,9.57
35.163.138.73,443,443,true,PDX,North America,US,Portland,239,9.57
54.203.62.27,443,443,true,SEA,North America,US,Seattle,350,9.56
54.189.158.193,443,443,true,SEA,North America,US,Seattle,243,9.56
34.221.148.72,443,443,true,PDX,North America,US,Portland,336,9.56
34.212.66.246,443,443,true,PDX,North America,US,Portland,380,9.56
54.67.51.104,8443,443,true,SJC,North America,US,San Jose,348,9.55
54.186.167.251,443,443,true,SEA,North America,US,Seattle,294,9.55
54.191.176.232,443,443,true,SEA,North America,US,Seattle,261,9.55
54.177.169.110,443,443,true,SJC,North America,US,San Jose,338,9.55
35.179.17.225,443,443,true,LHR,Europe,GB,London,385,9.54
54.191.168.223,443,443,true,SEA,North America,US,Seattle,258,9.54
54.185.29.124,443,443,true,SEA,North America,US,Seattle,347,9.54
34.220.227.108,443,443,true,PDX,North America,US,Portland,254,9.53
34.214.216.195,443,443,true,PDX,North America,US,Portland,223,9.52
52.89.100.174,443,443,true,SEA,North America,US,Seattle,249,9.52
3.76.206.85,443,443,true,FRA,Europe,DE,Frankfurt,365,9.52
54.214.136.8,443,443,true,SEA,North America,US,Seattle,224,9.52
34.216.39.36,443,443,true,PDX,North America,US,Portland,305,9.52
34.212.211.102,443,443,true,PDX,North America,US,Portland,290,9.52
34.223.205.243,443,443,true,PDX,North America,US,Portland,265,9.52
34.220.228.210,443,443,true,PDX,North America,US,Portland,227,9.52
18.237.80.62,443,443,true,PDX,North America,US,Portland,255,9.52
34.213.153.77,443,443,true,PDX,North America,US,Portland,221,9.51
35.163.138.73,443,443,true,PDX,North America,US,Portland,216,9.51
35.90.1.150,443,443,true,PDX,North America,US,Portland,316,9.51
35.87.154.39,443,443,true,PDX,North America,US,Portland,219,9.51
3.126.159.12,443,443,true,FRA,Europe,DE,Frankfurt,375,9.51
52.89.142.8,443,443,true,SEA,North America,US,Seattle,286,9.50
18.246.216.233,443,443,true,PDX,North America,US,Portland,339,9.50
18.237.255.98,443,443,true,PDX,North America,US,Portland,248,9.50
52.39.31.79,443,443,true,SEA,North America,US,Seattle,220,9.50
54.201.113.32,443,443,true,SEA,North America,US,Seattle,288,9.50
44.243.17.25,443,443,true,PDX,North America,US,Portland,253,9.50
52.89.7.131,443,443,true,SEA,North America,US,Seattle,239,9.50
34.210.61.223,443,443,true,PDX,North America,US,Portland,252,9.50
35.88.150.124,443,443,true,PDX,North America,US,Portland,246,9.50
35.85.54.102,443,443,true,PDX,North America,US,Portland,258,9.49
54.218.39.144,443,443,true,SEA,North America,US,Seattle,292,9.49
54.185.216.4,443,443,true,SEA,North America,US,Seattle,251,9.49
34.222.135.204,443,443,true,PDX,North America,US,Portland,285,9.49
35.89.79.103,443,443,true,PDX,North America,US,Portland,376,9.49
35.179.150.4,443,443,true,LHR,Europe,GB,London,374,9.49
52.25.11.252,443,443,true,SEA,North America,US,Seattle,215,9.49
35.163.119.237,443,443,true,PDX,North America,US,Portland,215,9.48
35.163.186.75,443,443,true,PDX,North America,US,Portland,218,9.48
35.85.61.209,443,443,true,PDX,North America,US,Portland,327,9.48
54.202.197.141,443,443,true,SEA,North America,US,Seattle,451,9.48
54.201.137.180,443,443,true,SEA,North America,US,Seattle,306,9.47
54.193.81.187,443,443,true,SJC,North America,US,San Jose,262,9.47
34.212.82.22,443,443,true,PDX,North America,US,Portland,423,9.47
34.213.177.161,443,443,true,PDX,North America,US,Portland,351,9.47
44.244.32.69,443,443,true,PDX,North America,US,Portland,327,9.47
52.32.113.215,443,443,true,SEA,North America,US,Seattle,327,9.47
54.188.36.112,443,443,true,SEA,North America,US,Seattle,293,9.47
35.164.228.188,443,443,true,PDX,North America,US,Portland,342,9.47
35.90.19.95,443,443,true,PDX,North America,US,Portland,346,9.47
35.89.19.246,443,443,true,PDX,North America,US,Portland,236,9.47
34.209.87.172,443,443,true,PDX,North America,US,Portland,330,9.47
35.179.17.141,443,443,true,LHR,Europe,GB,London,301,9.46
52.12.166.5,443,443,true,SEA,North America,US,Seattle,246,9.46
34.211.161.246,443,443,true,PDX,North America,US,Portland,320,9.46
52.42.18.247,443,443,true,SEA,North America,US,Seattle,216,9.46
35.89.21.60,443,443,true,PDX,North America,US,Portland,380,9.46
35.160.46.186,443,443,true,PDX,North America,US,Portland,322,9.46
54.188.84.63,443,443,true,SEA,North America,US,Seattle,346,9.46
35.160.120.234,443,443,true,PDX,North America,US,Portland,281,9.46
35.178.253.69,443,443,true,LHR,Europe,GB,London,248,9.45
54.214.140.242,443,443,true,SEA,North America,US,Seattle,334,9.45
63.176.160.97,443,443,true,AMS,Europe,NL,Amsterdam,260,9.45
52.89.100.174,443,443,true,SEA,North America,US,Seattle,244,9.45
52.89.219.134,443,443,true,SEA,North America,US,Seattle,339,9.45
35.179.161.129,443,443,true,LHR,Europe,GB,London,240,9.44
54.189.152.22,443,443,true,SEA,North America,US,Seattle,286,9.44
54.218.218.214,443,443,true,SEA,North America,US,Seattle,291,9.44
34.217.176.250,443,443,true,PDX,North America,US,Portland,264,9.44
34.213.123.39,443,443,true,PDX,North America,US,Portland,348,9.44
52.26.0.10,443,443,true,SEA,North America,US,Seattle,247,9.44
52.89.64.209,443,443,true,SEA,North America,US,Seattle,427,9.44
52.33.27.192,443,443,true,SEA,North America,US,Seattle,224,9.44
54.203.22.171,443,443,true,SEA,North America,US,Seattle,347,9.43
54.193.48.13,443,443,true,SJC,North America,US,San Jose,354,9.43
35.90.17.210,443,443,true,PDX,North America,US,Portland,262,9.43
35.84.211.245,443,443,true,PDX,North America,US,Portland,357,9.43
34.221.172.42,443,443,true,PDX,North America,US,Portland,217,9.43
34.222.150.68,443,443,true,PDX,North America,US,Portland,277,9.43
52.35.18.79,443,443,true,SEA,North America,US,Seattle,302,9.42
35.160.249.20,443,443,true,PDX,North America,US,Portland,230,9.42
54.191.14.248,443,443,true,SEA,North America,US,Seattle,379,9.42
52.40.65.17,443,443,true,SEA,North America,US,Seattle,267,9.42
35.164.228.188,443,443,true,PDX,North America,US,Portland,362,9.42
35.166.157.195,443,443,true,PDX,North America,US,Portland,420,9.42
52.37.208.64,443,443,true,SEA,North America,US,Seattle,230,9.42
34.222.160.79,443,443,true,PDX,North America,US,Portland,254,9.42
54.244.56.252,443,443,true,SEA,North America,US,Seattle,294,9.42
54.200.206.23,443,443,true,SEA,North America,US,Seattle,273,9.41
35.161.254.96,443,443,true,PDX,North America,US,Portland,283,9.41
54.148.167.46,443,443,true,PDX,North America,US,Portland,274,9.41
3.64.63.172,443,443,true,AMS,Europe,NL,Amsterdam,330,9.41
