IP地址,数据中心,地区,城市,网络延迟
172.64.229.86,NRT,亚太地区,东京,135 ms
1.0.0.67,SJC,北美洲,圣何塞,144 ms
172.64.131.30,SJC,北美洲,圣何塞,147 ms
62.72.166.6,SJC,北美洲,圣何塞,148 ms
172.64.134.235,SJC,北美洲,圣何塞,148 ms
162.159.128.28,SJC,北美洲,圣何塞,148 ms
104.19.224.120,SJC,北美洲,圣何塞,148 ms
172.64.174.172,SJC,北美洲,圣何塞,149 ms
104.18.208.42,SJC,北美洲,圣何塞,149 ms
1.1.1.184,SJC,北美洲,圣何塞,149 ms
172.64.103.205,SJC,北美洲,圣何塞,150 ms
104.16.63.250,SJC,北美洲,圣何塞,150 ms
172.64.105.183,SJC,北美洲,圣何塞,150 ms
162.159.140.21,SJC,北美洲,圣何塞,150 ms
45.80.111.226,SJC,北美洲,圣何塞,150 ms
104.19.171.244,SJC,北美洲,圣何塞,150 ms
104.17.119.1,SJC,北美洲,圣何塞,150 ms
1.1.1.229,SJC,北美洲,圣何塞,150 ms
45.205.0.15,SJC,北美洲,圣何塞,150 ms
104.16.82.121,SJC,北美洲,圣何塞,150 ms
185.18.250.40,SJC,北美洲,圣何塞,150 ms
104.17.240.13,SJC,北美洲,圣何塞,150 ms
104.16.181.153,SJC,北美洲,圣何塞,150 ms
1.1.1.174,SJC,北美洲,圣何塞,150 ms
104.16.186.117,SJC,北美洲,圣何塞,150 ms
91.193.59.175,SJC,北美洲,圣何塞,151 ms
104.18.222.136,SJC,北美洲,圣何塞,151 ms
104.16.169.13,SJC,北美洲,圣何塞,151 ms
1.1.1.194,SJC,北美洲,圣何塞,151 ms
104.18.243.40,SJC,北美洲,圣何塞,151 ms
1.0.0.219,SJC,北美洲,圣何塞,151 ms
172.64.173.148,SJC,北美洲,圣何塞,151 ms
103.11.212.64,SJC,北美洲,圣何塞,151 ms
45.131.7.219,SJC,北美洲,圣何塞,151 ms
104.19.154.97,SJC,北美洲,圣何塞,151 ms
104.129.167.254,SJC,北美洲,圣何塞,151 ms
104.18.194.181,SJC,北美洲,圣何塞,151 ms
1.1.1.232,SJC,北美洲,圣何塞,151 ms
104.18.13.171,SJC,北美洲,圣何塞,151 ms
104.16.240.230,SJC,北美洲,圣何塞,151 ms
104.16.100.100,SJC,北美洲,圣何塞,151 ms
162.159.13.221,SJC,北美洲,圣何塞,151 ms
1.1.1.17,SJC,北美洲,圣何塞,151 ms
172.64.193.7,SJC,北美洲,圣何塞,151 ms
104.19.195.148,SJC,北美洲,圣何塞,151 ms
162.159.135.185,SJC,北美洲,圣何塞,152 ms
104.19.81.105,SJC,北美洲,圣何塞,152 ms
104.19.231.255,SJC,北美洲,圣何塞,152 ms
1.1.1.189,SJC,北美洲,圣何塞,152 ms
104.16.185.26,SJC,北美洲,圣何塞,152 ms
1.0.0.30,SJC,北美洲,圣何塞,152 ms
1.1.1.214,SJC,北美洲,圣何塞,152 ms
104.16.184.201,SJC,北美洲,圣何塞,152 ms
104.18.210.223,SJC,北美洲,圣何塞,152 ms
172.64.165.213,SJC,北美洲,圣何塞,152 ms
104.18.225.27,SJC,北美洲,圣何塞,152 ms
104.19.227.121,SJC,北美洲,圣何塞,152 ms
172.64.85.191,SJC,北美洲,圣何塞,152 ms
1.1.1.148,SJC,北美洲,圣何塞,152 ms
198.41.201.139,SJC,北美洲,圣何塞,152 ms
1.0.0.133,SJC,北美洲,圣何塞,152 ms
104.16.147.191,SJC,北美洲,圣何塞,152 ms
94.247.142.58,SJC,北美洲,圣何塞,152 ms
1.0.0.47,SJC,北美洲,圣何塞,152 ms
1.1.1.233,SJC,北美洲,圣何塞,152 ms
1.1.1.112,SJC,北美洲,圣何塞,152 ms
172.66.3.12,SJC,北美洲,圣何塞,152 ms
104.16.5.64,SJC,北美洲,圣何塞,152 ms
1.0.0.120,SJC,北美洲,圣何塞,152 ms
104.19.235.92,SJC,北美洲,圣何塞,152 ms
1.0.0.69,SJC,北美洲,圣何塞,152 ms
104.17.125.206,SJC,北美洲,圣何塞,152 ms
104.16.3.55,SJC,北美洲,圣何塞,152 ms
1.0.0.109,SJC,北美洲,圣何塞,152 ms
104.17.89.15,SJC,北美洲,圣何塞,152 ms
104.17.176.78,SJC,北美洲,圣何塞,152 ms
104.18.52.244,SJC,北美洲,圣何塞,152 ms
172.64.205.82,SJC,北美洲,圣何塞,152 ms
172.64.195.122,SJC,北美洲,圣何塞,153 ms
104.16.132.40,SJC,北美洲,圣何塞,153 ms
45.80.110.81,SJC,北美洲,圣何塞,153 ms
154.83.2.51,SJC,北美洲,圣何塞,153 ms
162.159.26.231,SJC,北美洲,圣何塞,153 ms
1.0.0.26,SJC,北美洲,圣何塞,153 ms
104.18.151.66,SJC,北美洲,圣何塞,153 ms
104.19.188.45,SJC,北美洲,圣何塞,153 ms
1.1.1.136,SJC,北美洲,圣何塞,153 ms
104.17.48.92,SJC,北美洲,圣何塞,153 ms
104.16.115.5,LAX,北美洲,洛杉矶,153 ms
104.18.133.164,SJC,北美洲,圣何塞,153 ms
172.64.167.111,SJC,北美洲,圣何塞,153 ms
1.1.1.34,SJC,北美洲,圣何塞,153 ms
185.162.231.166,SJC,北美洲,圣何塞,153 ms
104.19.122.50,SJC,北美洲,圣何塞,153 ms
1.0.0.246,SJC,北美洲,圣何塞,153 ms
104.18.146.58,SJC,北美洲,圣何塞,153 ms
104.16.194.132,SJC,北美洲,圣何塞,153 ms
104.17.35.243,SJC,北美洲,圣何塞,153 ms
104.18.143.17,SJC,北美洲,圣何塞,153 ms
1.0.0.105,SJC,北美洲,圣何塞,153 ms
1.1.1.181,SJC,北美洲,圣何塞,153 ms
1.0.0.7,SJC,北美洲,圣何塞,153 ms
104.17.174.87,SJC,北美洲,圣何塞,153 ms
172.64.150.209,SJC,北美洲,圣何塞,153 ms
172.83.73.181,SJC,北美洲,圣何塞,154 ms
108.165.216.47,SJC,北美洲,圣何塞,154 ms
176.126.206.98,SJC,北美洲,圣何塞,154 ms
104.18.92.162,SJC,北美洲,圣何塞,154 ms
104.16.159.9,SJC,北美洲,圣何塞,154 ms
1.1.1.174,SJC,北美洲,圣何塞,154 ms
104.22.56.154,HKG,亚太地区,香港,154 ms
104.18.147.170,SJC,北美洲,圣何塞,154 ms
172.66.43.197,SJC,北美洲,圣何塞,154 ms
1.0.0.123,SJC,北美洲,圣何塞,154 ms
172.64.128.116,SJC,北美洲,圣何塞,154 ms
104.18.35.218,SJC,北美洲,圣何塞,154 ms
1.0.0.216,SJC,北美洲,圣何塞,154 ms
31.43.179.113,SJC,北美洲,圣何塞,154 ms
104.16.161.126,SJC,北美洲,圣何塞,154 ms
1.1.1.254,SJC,北美洲,圣何塞,154 ms
162.159.142.187,SJC,北美洲,圣何塞,154 ms
198.41.193.18,SJC,北美洲,圣何塞,154 ms
104.16.166.245,SJC,北美洲,圣何塞,154 ms
77.75.199.93,SJC,北美洲,圣何塞,154 ms
104.16.16.248,SJC,北美洲,圣何塞,154 ms
104.17.249.61,SJC,北美洲,圣何塞,154 ms
162.159.4.108,SJC,北美洲,圣何塞,154 ms
1.1.1.166,SJC,北美洲,圣何塞,154 ms
104.19.226.202,SJC,北美洲,圣何塞,154 ms
1.0.0.11,SJC,北美洲,圣何塞,154 ms
1.0.0.114,SJC,北美洲,圣何塞,154 ms
193.227.99.105,SJC,北美洲,圣何塞,154 ms
104.18.91.224,SJC,北美洲,圣何塞,154 ms
1.1.1.111,SJC,北美洲,圣何塞,154 ms
104.16.19.90,SJC,北美洲,圣何塞,154 ms
185.148.107.95,SJC,北美洲,圣何塞,154 ms
104.16.107.18,SJC,北美洲,圣何塞,154 ms
1.1.1.98,SJC,北美洲,圣何塞,154 ms
104.17.188.165,SJC,北美洲,圣何塞,154 ms
172.64.166.189,SJC,北美洲,圣何塞,154 ms
1.0.0.131,SJC,北美洲,圣何塞,154 ms
198.41.219.177,SJC,北美洲,圣何塞,154 ms
104.18.134.150,SJC,北美洲,圣何塞,154 ms
1.0.0.205,SJC,北美洲,圣何塞,154 ms
104.19.144.155,SJC,北美洲,圣何塞,154 ms
1.1.1.188,SJC,北美洲,圣何塞,154 ms
104.16.99.83,SJC,北美洲,圣何塞,154 ms
104.17.22.124,SJC,北美洲,圣何塞,154 ms
104.16.143.162,SJC,北美洲,圣何塞,154 ms
172.64.135.45,SJC,北美洲,圣何塞,154 ms
5.226.179.219,SJC,北美洲,圣何塞,154 ms
194.53.53.52,SJC,北美洲,圣何塞,154 ms
195.85.23.184,SJC,北美洲,圣何塞,154 ms
103.169.142.78,SJC,北美洲,圣何塞,154 ms
172.64.202.205,SJC,北美洲,圣何塞,154 ms
104.19.76.248,SJC,北美洲,圣何塞,155 ms
1.1.1.225,SJC,北美洲,圣何塞,155 ms
104.16.66.134,SJC,北美洲,圣何塞,155 ms
104.16.141.83,SJC,北美洲,圣何塞,155 ms
1.1.1.195,SJC,北美洲,圣何塞,155 ms
156.238.19.217,SJC,北美洲,圣何塞,155 ms
104.16.190.49,SJC,北美洲,圣何塞,155 ms
104.19.165.100,SJC,北美洲,圣何塞,155 ms
104.18.137.210,SJC,北美洲,圣何塞,155 ms
104.18.6.233,SJC,北美洲,圣何塞,155 ms
181.214.1.69,SJC,北美洲,圣何塞,155 ms
104.18.12.213,SJC,北美洲,圣何塞,155 ms
104.17.26.75,SJC,北美洲,圣何塞,155 ms
1.0.0.76,SJC,北美洲,圣何塞,155 ms
104.18.164.253,SJC,北美洲,圣何塞,155 ms
154.197.121.187,SJC,北美洲,圣何塞,155 ms
104.17.43.138,SJC,北美洲,圣何塞,155 ms
1.0.0.39,SJC,北美洲,圣何塞,155 ms
46.8.199.177,SJC,北美洲,圣何塞,155 ms
1.0.0.30,SJC,北美洲,圣何塞,155 ms
104.16.193.134,SJC,北美洲,圣何塞,155 ms
104.19.28.185,SJC,北美洲,圣何塞,155 ms
172.64.96.244,SJC,北美洲,圣何塞,155 ms
1.0.0.30,SJC,北美洲,圣何塞,155 ms
104.18.192.17,SJC,北美洲,圣何塞,155 ms
1.1.1.206,SJC,北美洲,圣何塞,155 ms
104.18.7.221,SJC,北美洲,圣何塞,155 ms
104.17.228.220,SJC,北美洲,圣何塞,155 ms
104.16.250.16,SJC,北美洲,圣何塞,155 ms
104.16.60.160,SJC,北美洲,圣何塞,155 ms
104.17.110.35,SJC,北美洲,圣何塞,155 ms
192.65.217.94,SJC,北美洲,圣何塞,155 ms
209.46.30.171,SJC,北美洲,圣何塞,155 ms
104.18.160.47,SJC,北美洲,圣何塞,155 ms
104.19.147.177,SJC,北美洲,圣何塞,155 ms
104.16.87.41,SJC,北美洲,圣何塞,155 ms
104.18.32.20,SJC,北美洲,圣何塞,155 ms
172.64.41.14,SJC,北美洲,圣何塞,155 ms
1.1.1.128,SJC,北美洲,圣何塞,155 ms
104.17.41.54,SJC,北美洲,圣何塞,155 ms
1.0.0.154,SJC,北美洲,圣何塞,155 ms
104.16.75.119,SJC,北美洲,圣何塞,155 ms
1.0.0.183,SJC,北美洲,圣何塞,155 ms
141.101.120.114,SJC,北美洲,圣何塞,155 ms
172.64.104.75,SJC,北美洲,圣何塞,155 ms
104.16.182.17,SJC,北美洲,圣何塞,155 ms
104.17.191.240,SJC,北美洲,圣何塞,155 ms
162.159.24.159,SJC,北美洲,圣何塞,155 ms
185.148.105.98,SJC,北美洲,圣何塞,155 ms
172.64.87.171,SJC,北美洲,圣何塞,155 ms
104.19.228.241,SJC,北美洲,圣何塞,155 ms
104.18.172.242,SJC,北美洲,圣何塞,155 ms
104.19.52.166,SJC,北美洲,圣何塞,155 ms
104.17.227.102,SJC,北美洲,圣何塞,155 ms
104.16.230.231,SJC,北美洲,圣何塞,155 ms
1.1.1.14,SJC,北美洲,圣何塞,155 ms
104.18.200.51,SJC,北美洲,圣何塞,155 ms
172.64.52.51,SJC,北美洲,圣何塞,155 ms
104.16.206.253,SJC,北美洲,圣何塞,155 ms
104.17.231.121,SJC,北美洲,圣何塞,155 ms
104.16.232.171,SJC,北美洲,圣何塞,155 ms
104.19.207.227,SJC,北美洲,圣何塞,155 ms
92.53.188.69,SJC,北美洲,圣何塞,155 ms
104.16.200.186,SJC,北美洲,圣何塞,155 ms
1.1.1.154,SJC,北美洲,圣何塞,155 ms
104.16.131.15,SJC,北美洲,圣何塞,156 ms
45.159.219.165,SJC,北美洲,圣何塞,156 ms
104.16.253.203,SJC,北美洲,圣何塞,156 ms
141.101.114.41,SJC,北美洲,圣何塞,156 ms
141.101.115.226,SJC,北美洲,圣何塞,156 ms
1.1.1.81,SJC,北美洲,圣何塞,156 ms
198.41.220.163,SJC,北美洲,圣何塞,156 ms
104.16.128.126,SJC,北美洲,圣何塞,156 ms
89.116.180.136,SJC,北美洲,圣何塞,156 ms
162.159.10.170,SJC,北美洲,圣何塞,156 ms
172.64.109.87,SJC,北美洲,圣何塞,156 ms
154.194.12.172,SJC,北美洲,圣何塞,156 ms
94.242.229.10,SJC,北美洲,圣何塞,156 ms
104.19.161.71,SJC,北美洲,圣何塞,156 ms
104.19.150.101,SJC,北美洲,圣何塞,156 ms
